12aa12aa-12aa.log,12aa12aa-12aa,000,[],cndo,-8.6559412054,-14.7031270403,0.689536467,3.2038683355,37,0.7414,-146.1290375,000,0
12aa12aa-12aa12aa-.log,12aa12aa-12aa12aa-,000,[],cndo,-8.1038222269,-14.9099335576,0.2353784704,2.2212652644,49,0.0119,-194.392698,000,0
12aa12aa-12aa12aa.log,12aa12aa-12aa12aa,000,[],cndo,-8.0989241778,-14.9439477874,0.2421813163,2.216911443,49,1.4291,-194.3919994,000,0
12aa12aa.log,12aa12aa,000,[],cndo,-9.7092938746,-15.5521222166,1.5113202595,4.9769621077,25,1.4623,-97.8652072,000,0
12aa12aa12aa-12aa-.log,12aa12aa12aa-12aa-,000,[],cndo,-8.0940261287,-15.0146973854,0.2492562761,2.2125576215,49,0.0122,-194.3913067,000,0
12aa12aa12aa-12aa.log,12aa12aa12aa-12aa,000,[],cndo,-8.0989241778,-14.9447641289,0.2421813163,2.216911443,49,1.4207,-194.3919993,000,0
12aa12aa12aa.log,12aa12aa12aa,000,[],cndo,-8.6559412054,-14.5934651633,0.6960671991,3.1840040253,37,1.7854,-146.1274977,000,0
12aa12aa12aa12aa-.log,12aa12aa12aa12aa-,000,[],cndo,-8.0932097872,-14.8255782676,0.2617735127,2.2139181907,49,1.4868,-194.3911483,000,0
12aa12aa12aa12aa.log,12aa12aa12aa12aa,000,[],cndo,-8.0883117381,-14.7956457454,0.2710253832,2.2139181907,49,1.682,-194.3901982,000,0
12ae.log,12ae,000,[],cndo,-11.5131365105,-14.0650200888,3.0071300302,4.5549135441,17,0.5748,-63.5778858,000,0
12ae12ae-.log,12ae12ae-,000,[],cndo,-9.3198989715,-13.9493717074,0.9717185176,3.8204782937,33,0.7116,-125.8158621,000,0
12ae12ae-12ae-12ae-.log,12ae12ae-12ae-12ae-,000,[],cndo,-7.8918455466,-13.5558950968,-0.1809557027,1.5031568443,65,0.9821,-250.2974202,000,0
12ae12ae-12ae-12ae.log,12ae12ae-12ae-12ae,000,[],cndo,-7.8940224574,-13.5101799719,-0.1978267607,1.5017962752,65,1.6454,-250.2989699,000,0
12ae12ae-12ae.log,12ae12ae-12ae,000,[],cndo,-8.391990782,-13.8214782032,0.2035411513,2.3282060029,49,1.3622,-188.0570234,000,0
12ae12ae-12ae12ae-.log,12ae12ae-12ae12ae-,000,[],cndo,-7.8921176605,-13.6203860765,-0.2171468432,1.5243817238,65,2.0472,-250.2986715,000,0
12ae12ae-12ae12ae.log,12ae12ae-12ae12ae,000,[],cndo,-7.8893965221,-13.6846049424,-0.2032690374,1.5181231055,65,1.9254,-250.2980566,000,0
12ae12ae.log,12ae12ae,000,[],cndo,-9.3522805183,-13.922976665,0.9545753458,3.8264647982,33,1.2375,-125.8157141,000,0
12ae12ae12ae-12ae-.log,12ae12ae12ae-12ae-,000,[],cndo,-7.8921176605,-13.7237893352,-0.2138814771,1.512136601,65,1.9203,-250.2973501,000,0
12ae12ae12ae-12ae.log,12ae12ae12ae-12ae,000,[],cndo,-7.8953830265,-13.6911356746,-0.2280313967,1.5181231055,65,2.5072,-250.2979676,000,0
12ae12ae12ae.log,12ae12ae12ae,000,[],cndo,-8.4115829783,-13.6557608755,0.1948335084,2.3097022619,49,1.7368,-188.0559532,000,0
12ae12ae12ae12ae-.log,12ae12ae12ae12ae-,000,[],cndo,-7.8989205064,-13.6018823355,-0.2187795262,1.503701072,65,2.4866,-250.2971192,000,0
12ae12ae12ae12ae.log,12ae12ae12ae12ae,000,[],cndo,-7.9027301002,-13.5333096482,-0.2054459481,1.4988030229,65,1.9327,-250.2966399,000,0
12af.log,12af,000,[],cndo,-11.4957212249,-14.0092367519,3.7059183677,4.8128774631,16,0.8045,-68.0811144,000,0
12af12af-.log,12af12af-,000,[],cndo,-9.121800097,-12.731118052,1.6849288885,4.7829449408,31,2.3876,-134.8256137,000,0
12af12af-12af-12af-.log,12af12af-12af-12af-,000,[],cndo,-7.5157842217,-10.0156940568,0.5167441795,2.5331077234,61,8.0968,-268.3168124,000,0
12af12af-12af-12af.log,12af12af-12af-12af,000,[],cndo,-7.5190495878,-10.0325651148,0.4941587309,2.5282096743,61,7.3619,-268.3169706,000,0
12af12af-12af.log,12af12af-12af,000,[],cndo,-8.10191743,-11.2902752767,0.8963429843,3.4433285135,46,3.8775,-201.5705764,000,0
12af12af-12af12af-.log,12af12af-12af12af-,000,[],cndo,-7.5593224359,-10.084538858,0.4394638493,2.5080732502,61,8.3306,-268.3209923,000,0
12af12af-12af12af.log,12af12af-12af12af,000,[],cndo,-7.5680300787,-10.0842667441,0.4538858828,2.5086174779,61,6.0784,-268.3190235,000,0
12af12af.log,12af12af,000,[],cndo,-9.1585354653,-12.7452679716,1.6631597814,4.8082515278,31,0.1666,-134.8235984,000,0
12af12af12af-12af-.log,12af12af12af-12af-,000,[],cndo,-7.5568734113,-10.09460707,0.438375394,2.4952838998,61,7.3828,-268.3186383,000,0
12af12af12af-12af.log,12af12af12af-12af,000,[],cndo,-7.5614993466,-10.1044031682,0.4255860435,2.4941954445,61,5.9671,-268.3186191,000,0
12af12af12af.log,12af12af12af,000,[],cndo,-8.1530748317,-11.3338134909,0.8707642835,3.4008787546,46,1.5826,-201.5700262,000,0
12af12af12af12af-.log,12af12af12af12af-,000,[],cndo,-7.5936087796,-10.111478128,0.4269466127,2.4691609713,61,5.7628,-268.3201911,000,0
12af12af12af12af.log,12af12af12af12af,000,[],cndo,-7.6017721947,-10.1011378021,0.4560627935,2.4778686142,61,3.5077,-268.3181396,000,0
12ai.log,12ai,000,[],cndo,-11.4181687809,-13.9006633303,3.5782969774,4.8754636459,16,1.2702,-58.2830873,000,0
12ai12ai-.log,12ai12ai-,000,[],cndo,-9.0246554567,-12.6799606504,1.5709131902,4.8101563247,31,0.615,-115.2262692,000,0
12ai12ai-12ai-12ai-.log,12ai12ai-12ai-12ai-,000,[],cndo,-7.5065323512,-9.9112023428,0.44164076,2.2365036393,61,1.4744,-229.1187412,000,0
12ai12ai-12ai-12ai.log,12ai12ai-12ai-12ai,000,[],cndo,-7.5046275543,-9.9128350258,0.4166062869,2.2335103871,61,2.2126,-229.1193658,000,0
12ai12ai-12ai.log,12ai12ai-12ai,000,[],cndo,-8.0341610842,-11.1833345382,0.8079059868,3.1108054027,46,1.8156,-172.1727598,000,0
12ai12ai-12ai12ai-.log,12ai12ai-12ai12ai-,000,[],cndo,-7.4975525945,-9.941134865,0.3940208383,2.2520141281,61,2.9373,-229.1200413,000,0
12ai12ai-12ai12ai.log,12ai12ai-12ai12ai,000,[],cndo,-7.5013621883,-9.9482098248,0.4089870994,2.247116079,61,3.0381,-229.1195387,000,0
12ai12ai.log,12ai12ai,000,[],cndo,-9.0692821262,-12.7256757753,1.5464229447,4.8120611215,31,2.3696,-115.2257084,000,0
12ai12ai12ai-12ai-.log,12ai12ai12ai-12ai-,000,[],cndo,-7.4921103178,-9.954740557,0.4065380748,2.252286242,61,3.063,-229.1185171,000,0
12ai12ai12ai-12ai.log,12ai12ai12ai-12ai,000,[],cndo,-7.4891170655,-9.947937711,0.3907554722,2.2563679496,61,4.3449,-229.118994,000,0
