12aa12aa-12aa12aa.log,12aa12aa-12aa12aa,000,[],indo,-7.4975525945,-14.1648858675,0.9526705489,2.8841345752,49,1.3367,-186.9551661,000,0
12aa12aa.log,12aa12aa,000,[],indo,-9.1147251372,-14.6906098037,2.1872510346,4.5070215085,25,1.364,-94.1501011,000,0
12aa12aa12aa-12aa-.log,12aa12aa12aa-12aa-,000,[],indo,-7.4931987731,-14.1436609881,0.9632829886,2.8800528676,49,0.0094,-186.9544624,000,0
12aa12aa12aa-12aa.log,12aa12aa12aa-12aa,000,[],indo,-7.4975525945,-14.164069526,0.9526705489,2.8841345752,49,1.3301,-186.9551658,000,0
12aa12aa12aa.log,12aa12aa12aa,000,[],indo,-8.0578349882,-14.1153611489,1.3970324473,3.8316349611,37,1.6796,-140.5514889,000,0
12aa12aa12aa12aa-.log,12aa12aa12aa12aa-,000,[],indo,-7.4937430008,-14.1325043207,0.9763444528,2.884406689,49,1.4177,-186.9542228,000,0
12aa12aa12aa12aa.log,12aa12aa12aa12aa,000,[],indo,-7.4893891794,-14.10338814,0.9896780309,2.8846788028,49,1.5994,-186.9532253,000,0
12ae.log,12ae,000,[],indo,-10.8753016729,-13.4671859854,3.6895915374,4.2912352345,17,0.5354,-61.2129704,000,0
12ae12ae-.log,12ae12ae-,000,[],indo,-8.6817920201,-13.0791516516,1.6906432791,4.3622569464,33,0.4787,-121.0795703,000,0
12ae12ae-12ae-12ae-.log,12ae12ae-12ae-12ae-,000,[],indo,-7.2502011153,-12.9615984733,0.5790582485,2.2179998983,65,0.72,-240.8175092,000,0
12ae12ae-12ae-12ae.log,12ae12ae-12ae-12ae,000,[],indo,-7.2521059121,-12.7528871591,0.5602823936,2.2174556706,65,1.0811,-240.8192735,000,0
12ae12ae-12ae.log,12ae12ae-12ae,000,[],indo,-7.7495300091,-13.091941002,0.9428744507,3.0191030391,49,0.9649,-180.949171,000,0
12ae12ae-12ae12ae-.log,12ae12ae-12ae12ae-,000,[],indo,-7.2491126599,-12.8924815583,0.5363363759,2.2348709563,65,1.3266,-240.8191818,000,0
12ae12ae-12ae12ae.log,12ae12ae-12ae12ae,000,[],indo,-7.247207863,-13.0454095356,0.5523910923,2.2272517688,65,1.3445,-240.8184147,000,0
12ae12ae.log,12ae12ae,000,[],indo,-8.7185273883,-13.1050024662,1.6713231966,4.472463051,33,1.1156,-121.0793034,000,0
12ae12ae12ae-12ae-.log,12ae12ae12ae-12ae-,000,[],indo,-7.2507453429,-13.05139604,0.5472209294,2.2193604675,65,1.2349,-240.8175498,000,0
